epoch,Bleu3
0.0,0.4984131726058539
20.0,0.5032368749313878
40.0,0.5107191492777986
60.0,0.511334002673734
80.0,0.515663112925632
100.0,0.520706965095845
120.0,0.5213746452209151
140.0,0.5272515094577754
160.0,0.5280592371081436
180.0,0.534068509511064
200.0,0.5335797480924293
220.0,0.5335397880376374
240.0,0.5417559375511058
260.0,0.5424783854583383
280.0,0.543528003577383
300.0,0.5487068517276876
320.0,0.5449566867654831
340.0,0.548026403167656
360.0,0.5484117163326776
380.0,0.5522832012135831
400.0,0.5530169243851419
420.0,0.5514676391544416
440.0,0.5520732983152689
460.0,0.555552201961757
480.0,0.5575046255140341
500.0,0.5561265631708993
520.0,0.5573511963272708
540.0,0.5610208685149851
560.0,0.5563800275315824
580.0,0.5605981151578648
600.0,0.5569749008670872
620.0,0.5591465438050359
640.0,0.563666725282122
660.0,0.5631671576679592
680.0,0.5596272412376424
700.0,0.5565876298690631
720.0,0.5546917161444153
740.0,0.5580587847239149
760.0,0.5596012591550862
780.0,0.5596282022651072
800.0,0.5622152083092576
820.0,0.561897357134262
840.0,0.5616551100972297
860.0,0.5619516364271965
880.0,0.5565992965138423
900.0,0.5567157051584102
920.0,0.5569392095293219
940.0,0.5530403733904499
960.0,0.5556959031304219
980.0,0.5608838448672261
1000.0,0.5583196102183182
1020.0,0.5551430167618664
1040.0,0.5549212439210767
1060.0,0.5568105291480265
1080.0,0.5524649038652868
1100.0,0.5548899288948903
1120.0,0.5562275514766623
1140.0,0.5526146115208054
1160.0,0.5530243687587023
1180.0,0.5551702635115313
1200.0,0.5516379547838459
1220.0,0.5500242410452403
1240.0,0.5515270734760367
1260.0,0.5497803380274261
1280.0,0.5503688239762387
1300.0,0.5520852842922777
1320.0,0.5499112729525732
1340.0,0.5496687800861326
1360.0,0.5496164601785656
1380.0,0.551111182135428
1400.0,0.5483457200271944
1420.0,0.5489413096263681
1440.0,0.5484286424349935
1460.0,0.5479087904982016
1480.0,0.5546711035552172
1500.0,0.5465244142074455
1520.0,0.549229072169307
1540.0,0.5454183025106083
1560.0,0.5466160062600546
1580.0,0.5435155315045548
1600.0,0.5481008331192804
1620.0,0.5490118411519195
1640.0,0.5469064921287186
1660.0,0.5445815056048365
1680.0,0.5408993837391687
1700.0,0.5444676654369749
1720.0,0.5442480866439036
1740.0,0.5424765287848742
1760.0,0.5430945993170232
1780.0,0.5458588159787509
1800.0,0.5414214762856616
1820.0,0.5442815439894074
1840.0,0.5388976882779822
1860.0,0.5464305368064593
1880.0,0.5390849722667903
1900.0,0.5370745383712796
1920.0,0.5412406264055756
1940.0,0.5455552675527914
1960.0,0.5438419041876775
1980.0,0.5450172312458628
