experiment-log-rmcgan (1),experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4)
1.5405,1.5874,1.5332,1.6008
0.9588,0.9677,0.9652,0.9932
0.8369,0.8467,0.8429,0.8688
0.7879,0.8015,0.8039,0.8190000000000001
0.768,0.7787,0.7794,0.7923
0.7507,0.7635,0.7616,0.7791
0.7419,0.7543,0.7489,0.7686
0.7312,0.7442,0.7422,0.7565
0.7279,0.7390000000000001,0.7382,0.7507
0.7261,0.7347,0.7388,0.7396
0.7169,0.7308,0.7352,0.7383
0.7167,0.7295,0.7289,0.7378
0.7189,0.7293,0.7251,0.7359
0.7096,0.7354,0.7263,0.7302
0.7079,0.7365,0.7148,0.7281
0.7056,0.7376,0.7158,0.7323
0.7045,0.7359,0.7148,0.7314
0.7037,0.7345,0.7140000000000001,0.7307
0.7036,0.7335,0.7139,0.7304
0.7036,0.7333,0.7141,0.7303
0.7038,0.7332,0.7145,0.7303
0.7038,0.7334,0.715,0.7306
0.7041,0.7337,0.7156,0.7308
0.7043,0.7338,0.7162,0.7313
0.7047,0.7342,0.7168,0.7319
0.7051,0.7346,0.7175,0.7325
0.7056,0.7349,0.7183,0.7332
0.706,0.7353,0.7192,0.7338
0.7065,0.7361,0.7201,0.7345
0.7071,0.7369,0.7208,0.7351
0.7076,0.7373,0.7215,0.7359
0.7082,0.7381,0.7222,0.7366
0.7090000000000001,0.7387,0.7228,0.7371
0.7095,0.7393,0.7234,0.7376
0.71,0.7399,0.7240000000000001,0.7381
0.7104,0.7401,0.7244,0.7384
0.7108,0.7402,0.7247,0.7389
0.711,0.7403,0.7252,0.7393
0.7114,0.7403,0.7257,0.7397
0.7117,0.7402,0.7261,0.7401
0.7118,0.7402,0.7261,0.7406
0.7120000000000001,0.7403,0.7259,0.7407
0.7122,0.7405,0.7258,0.7406
0.7123,0.7405,0.7258,0.7407
0.7124,0.7407,0.7257,0.7406
0.7123,0.7405,0.7258,0.7406
0.7123,0.7403,0.7259,0.7403
0.7122,0.74,0.726,0.74
0.7118,0.7395,0.7261,0.7398
0.7114,0.7394,0.7259,0.7396
0.7112,0.7391,0.7256,0.7394
0.7111,0.7389,0.7252,0.7392
0.7108,0.7384,0.7248,0.7389
0.7104,0.7379,0.7245,0.7388
0.7102,0.7374,0.7240000000000001,0.7386
0.7101,0.7369,0.7238,0.7385
0.7099,0.7366,0.7235,0.7381
0.7097,0.7364,0.7231,0.7376
0.7095,0.736,0.7226,0.7372
0.7092,0.7359,0.7222,0.7371
0.7091,0.7354,0.722,0.7369
0.7091,0.7349,0.7218,0.7367
0.7088,0.7346,0.7214,0.7363
0.7083,0.7339,0.7212,0.7359
0.7081,0.7332,0.721,0.7357
0.7079,0.7326,0.7206,0.7355
0.7075,0.7322,0.7203,0.7354
0.7073,0.7318,0.7201,0.7353
0.7072,0.7315,0.7198,0.7351
0.7070000000000001,0.7311,0.7195,0.7351
0.7069,0.7307,0.7193,0.7351
0.7068,0.73,0.7190000000000001,0.735
0.7068,0.7296,0.7189,0.7351
0.7067,0.7291,0.7189,0.735
0.7065,0.7290000000000001,0.7187,0.735
0.7063,0.7288,0.7186,0.7349
0.7062,0.7285,0.7182,0.7347
0.7061,0.728,0.7181,0.7347
0.706,0.7278,0.718,0.7347
0.7058,0.7276,0.718,0.7346
0.7058,0.7276,0.7179,0.7344
0.7057,0.7275,0.7177,0.7343
0.7058,0.7274,0.7175,0.7344
0.7056,0.7274,0.7173,0.7343
0.7055,0.7274,0.7176,0.7340000000000001
0.7055,0.7272,0.7176,0.7341
0.7056,0.7271,0.7175,0.7341
0.7058,0.7268,0.7175,0.7341
0.7058,0.727,0.7176,0.7341
0.7055,0.727,0.7176,0.7340000000000001
0.7055,0.7269,0.7174,0.7340000000000001
0.7054,0.7269,0.7176,0.7341
0.7052,0.7268,0.7178,0.7342
0.7052,0.7268,0.7179,0.7342
0.7052,0.7268,0.718,0.7342
0.7051,0.7268,0.718,0.7343
0.7054,0.727,0.718,0.7344
0.7054,0.7269,0.7178,0.7345
0.7054,0.7267,0.7179,0.7344
0.7054,0.7263,0.7182,0.7343
0.7054,0.7261,0.7186,0.7344
0.7053,0.7261,0.7188,0.7345
0.7054,0.7263,0.7189,0.7344
0.7054,0.7261,0.7189,0.7344
0.7054,0.7261,0.7190000000000001,0.7343
0.7055,0.7263,0.7191,0.7344
0.7056,0.7263,0.7191,0.7345
0.7055,0.7263,0.7190000000000001,0.7346
0.7056,0.7265,0.7191,0.7347
0.7059,0.7265,0.7191,0.7347
0.7061,0.7263,0.7193,0.7348
0.7062,0.7263,0.7193,0.7347
0.7062,0.7262,0.7195,0.7347
0.7063,0.7264,0.7197,0.7346
0.7063,0.7266,0.7199,0.7346
